,ABANY,ABDEFECT,ABFELEGL,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABHLTH,ABINSPAY,ABMEDGOV1,ABMEDGOV2,ABMELEGL,ABMORAL,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,ABSINGLE,ABSTATE1,ABSTATE2,ACQNTSEX,ACTSSOC,adminconsent,ADULTS,ADVFRONT
266,NA,NA,NA,No,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Neither easy nor hard,Make it easier,NA,Fair,R consents to possible data linkage,4,Agree
267,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,NA,NA,NA,Very good,R consents to possible data linkage,2,NA
268,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Make it easier,NA,Good,R consents to possible data linkage,2,NA
269,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
270,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,WRONG ONLY SOMETIMES,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,3,Agree
271,YES,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should,Morally opposed,YES,YES,NA,YES,YES,Very easy,Make it easier,NA,Very good,R consents to possible data linkage,1,NA
272,NO,NO,NA,Yes,No,Yes,Yes,YES,People should not be able,NA,The government should decide,Should not,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Neither easy nor hard,Make it harder,NA,Very good,R consents to possible data linkage,3,Agree
273,NO,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,NO,NA,YES,NO,Very easy,Stay the same as now,NOT SELECTED,Very good,R consents to possible data linkage,3,NA
274,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Make it easier,NA,Very good,R consents to possible data linkage,2,Strongly agree
275,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Good,R does not consent to possible data linkage,1,NA
276,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,NA,NA,NA,Very good,R consents to possible data linkage,2,NA
277,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,The government should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
278,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NOT SELECTED,Very good,R does not consent to possible data linkage,1,NA
279,YES,YES,NA,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Make it easier,NA,Very good,R consents to possible data linkage,2,NA
280,NA,NA,Should,No,No,No,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,3,Agree
281,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,ALMOST ALWAYS WRONG,YES,NO,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Agree
282,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
283,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
284,YES,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
285,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Easy,Make it easier,NA,Very good,R consents to possible data linkage,2,NA
286,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NA,NA,NA,NA,Easy,Make it harder,NA,Very good,R does not consent to possible data linkage,3,NA
287,YES,YES,Should,Yes,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NA,YES,YES,NA,NA,NA,Very good,R consents to possible data linkage,1,NA
288,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,Agree
289,NA,NA,NA,NA,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,NA,NA,NA,Excellent,R does not consent to possible data linkage,1,NA
290,NO,YES,It depends,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Make it harder,NA,Very good,R does not consent to possible data linkage,1,Agree
291,NO,NO,NA,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should not,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NOT SELECTED,Very good,R consents to possible data linkage,2,NA
292,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,NA
293,NA,NA,It depends,Yes,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Very easy,Make it harder,NA,Very good,R consents to possible data linkage,1,Strongly agree
294,NO,NO,NA,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,NA,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Agree
295,NO,NO,It depends,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Very good,R consents to possible data linkage,2,NA
296,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,3,Agree
297,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,NA,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,NA,NA,NOT SELECTED,Very good,R consents to possible data linkage,2,Agree
298,NO,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,YES,YES,ALWAYS WRONG,YES,NO,Easy,Make it harder,NA,Excellent,R does not consent to possible data linkage,2,Agree
299,YES,NA,Should,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,WRONG ONLY SOMETIMES,YES,NO,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Strongly agree
300,NO,NO,Should not,No,No,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,NA,NA,NO,Neither easy nor hard,Make it harder,NA,Fair,R does not consent to possible data linkage,1,NA
301,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
302,NO,NO,It depends,No,No,No,No,YES,People should not be able,The government should decide,NA,NA,Morally opposed,NO,NO,NA,YES,NO,Neither easy nor hard,Make it harder,NOT SELECTED,Excellent,R does not consent to possible data linkage,2,NA
303,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
304,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should be able,NA,NA,NA,Not morally opposed,NA,NA,NA,NA,NA,NA,Stay the same as now,NA,Very good,R consents to possible data linkage,1,NA
305,NA,NA,NA,Yes,No,No,Yes,YES,NA,NA,A woman and her medical professional should decide,It depends,It depends,NO,NA,NA,YES,NO,NA,NA,NA,Good,R does not consent to possible data linkage,2,NA
306,NO,NO,NA,No,No,No,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Neither easy nor hard,Make it harder,NA,Excellent,R consents to possible data linkage,2,Strongly agree
307,NO,NO,NA,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,It depends,Morally opposed,NO,NO,NA,NO,NO,Hard,Make it harder,NA,Very good,R does not consent to possible data linkage,4,NA
308,NA,NO,NA,Yes,Yes,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NO,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,NA
309,NA,NA,It depends,Yes,No,No,Yes,NA,People should be able,The government should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Make it harder,NA,Good,R consents to possible data linkage,1,Disagree
310,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,It depends,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,4,NA
311,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Strongly agree
312,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
313,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Good,R consents to possible data linkage,2,NA
314,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
315,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Agree
316,NO,NO,It depends,No,No,No,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
317,NO,NO,NA,NA,No,No,Yes,YES,NA,NA,NA,It depends,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,NA,Make it harder,NA,Good,R does not consent to possible data linkage,2,Strongly agree
318,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Poor,R consents to possible data linkage,2,NA
319,NA,NA,It depends,Yes,No,No,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
320,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,NO,ALWAYS WRONG,YES,YES,NA,NA,NA,Excellent,R does not consent to possible data linkage,2,Agree
321,NO,NO,It depends,No,No,No,Yes,YES,People should not be able,The government should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Fair,R consents to possible data linkage,2,NA
322,NO,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,It depends,It depends,YES,YES,NOT WRONG AT ALL,YES,NO,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,Agree
323,NO,NO,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NO,NO,ALWAYS WRONG,NO,NO,Hard,Make it easier,NA,Good,R does not consent to possible data linkage,2,NA
324,NO,NO,It depends,No,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Morally opposed,YES,YES,NA,YES,YES,Hard,Stay the same as now,NA,Poor,R consents to possible data linkage,4,NA
325,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,ALWAYS WRONG,NA,NA,Very easy,Stay the same as now,NA,Good,R consents to possible data linkage,3,Disagree
326,NA,NA,Should not,No,No,Yes,Yes,NA,People should not be able,NA,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Hard,Make it harder,NA,Excellent,R consents to possible data linkage,1,Disagree
327,NO,YES,NA,Yes,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,Should,It depends,NA,NA,ALMOST ALWAYS WRONG,YES,NO,NA,Stay the same as now,NA,Poor,R consents to possible data linkage,1,Agree
328,YES,YES,It depends,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,NO,NA,NO,NO,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
329,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
330,YES,YES,Should,Yes,No,Yes,Yes,YES,NA,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Hard,NA,NA,Very good,R does not consent to possible data linkage,2,NA
331,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Make it easier,SEX W ACQUAINTANCE,Good,R consents to possible data linkage,2,NA
332,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,NA,Make it easier,NA,Excellent,R consents to possible data linkage,2,NA
333,NA,NA,Should,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,NA,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,Strongly agree
334,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
335,NO,YES,NA,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,Very easy,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Strongly disagree
336,NO,YES,NA,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
337,NA,NA,It depends,No,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,1,NA
338,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
339,YES,YES,Should,Yes,NA,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
340,NA,NA,It depends,Yes,No,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
341,NO,YES,NA,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NOT SELECTED,Good,R does not consent to possible data linkage,1,NA
342,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,NA,NA,NA,Good,R consents to possible data linkage,2,Strongly agree
343,NO,YES,It depends,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,YES,NO,Easy,Make it harder,NA,Good,R consents to possible data linkage,2,NA
344,NA,NA,NA,No,No,No,Yes,NA,People should not be able,NA,The government should decide,Should not,Morally opposed,NA,NA,NA,NA,NA,Easy,Make it harder,NA,Excellent,R consents to possible data linkage,3,NA
345,NO,NO,It depends,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
346,NO,YES,It depends,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,NA,NO,YES,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,1,NA
347,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,Agree
348,NO,NO,It depends,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Agree
349,YES,YES,Should,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,ALWAYS WRONG,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Agree
350,YES,YES,Should,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,YES,YES,NA,YES,NO,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
351,NA,NA,It depends,No,No,No,Yes,NA,NA,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
352,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,Disagree
353,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
354,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,WRONG ONLY SOMETIMES,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,2,Strongly agree
355,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
356,NO,YES,It depends,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,NA,NA,NA,Excellent,R does not consent to possible data linkage,2,NA
357,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NA,YES,YES,Very easy,Stay the same as now,NOT SELECTED,Good,R consents to possible data linkage,1,NA
358,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NA,NA,NA,NA,NA,NA,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
359,YES,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Agree
360,YES,YES,NA,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,NO,NA,YES,NO,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
361,NA,NA,NA,No,No,No,No,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Easy,Make it harder,NA,Very good,R consents to possible data linkage,2,NA
362,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Excellent,R consents to possible data linkage,2,Strongly agree
363,NA,NA,Should not,No,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Easy,Make it harder,NA,Good,R consents to possible data linkage,1,Disagree
364,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Hard,NA,NA,Very good,R consents to possible data linkage,1,Agree
365,NO,NO,NA,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NO,NO,NA,YES,NO,Neither easy nor hard,NA,NOT SELECTED,Good,R consents to possible data linkage,3,NA
366,NO,NO,It depends,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,YES,NO,Easy,Make it harder,NA,Good,R consents to possible data linkage,1,NA
367,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,NA,NA,Excellent,R consents to possible data linkage,1,Agree
368,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
369,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
370,YES,YES,NA,NA,NA,NA,NA,YES,NA,NA,NA,NA,NA,YES,YES,NA,YES,YES,NA,NA,NA,NA,NA,2,Strongly agree
371,NO,NO,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,NO,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Agree
372,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Very easy,Make it easier,NA,Fair,R consents to possible data linkage,2,NA
373,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NO,YES,WRONG ONLY SOMETIMES,YES,NO,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,3,Strongly agree
374,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Make it harder,NA,Fair,R does not consent to possible data linkage,2,Strongly agree
375,NO,YES,NA,Yes,NA,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,Not morally opposed,NO,NO,WRONG ONLY SOMETIMES,YES,YES,NA,NA,NA,Excellent,R does not consent to possible data linkage,1,Agree
376,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NO,YES,NA,YES,NO,Neither easy nor hard,Make it easier,NA,Very good,R consents to possible data linkage,2,NA
377,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Strongly agree
378,NO,NO,NA,No,No,Yes,Yes,NO,NA,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NO,ALWAYS WRONG,NO,NO,Very easy,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Agree
379,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,ALWAYS WRONG,NO,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Disagree
380,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Neither easy nor hard,Make it easier,NA,Good,R consents to possible data linkage,2,Agree
381,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,Agree
382,NO,NA,NA,Yes,NA,Yes,No,NA,NA,The government should decide,NA,NA,It depends,NA,NO,NA,NA,NA,NA,NA,NA,Good,R consents to possible data linkage,1,NA
383,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,NA,NA,NA,Very good,R consents to possible data linkage,1,Strongly agree
384,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,Not morally opposed,YES,NO,NA,NO,NO,Hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
385,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,NA,Make it easier,NA,Excellent,R consents to possible data linkage,2,Agree
