Mnemonic,Description
DAYCARE2,PRIVATE DAYCARE CENTER OK FOR KID < 3 YRS?
DAYCARE3,BABYSITTER OK FOR KID < 3 YRS?
DAYCARE4,FRIEND OR NEIGHBOR OK FOR KID < 3 YRS?
DAYCARE5,RELATIVE OK FOR KID < 3YRS?
DAYNIGHT,WHEN DID MOST ERRORS OCCUR
DEATH16,RELATIVES DIED SINCE AGE 16
DEATH5,RELATIVES DIED IN LAST 5 YRS
DEATHPEN,MURDERERS SHOULD GET DEATH PENALTY
DECAUTO,DECIDING WHETHER OR NOT TO BUY AN AUTOMOBILE
DECBED,DECIDING WHETHER OR NOT TO BUY BEDROOM FURNITURE
DECBIBLE,IMPORTANCE OF BIBLE IN MAKING DECISIONS
DECCHURH,IMP OF CHURCH TEACHINGS TO MAKE DECISION
DECGIFT,DECIDING ON MAJOR CHARITABLE GIFTS.
DECIDWRK,HOW ARE YOUR WORKING HOURS DECIDED
DECKIDS,WHO MAKES DECISION ABOUT HOW TO BRING UP CHILDREN
DECMONEY,HOW ABLE IS X TO DECIDE MANAGING OWN MONEY
DECOTHS,IMP. OF FAMILY & FRIENDS TO MAKE DECISIONS
DECSELF,IMP OF PERSONAL JUDGMENT TO MAKE DECISION
DECSORGS,AMERICA SHOULD FOLLOW DECISION OF INTL ORG
DECTREAT,HOW ABLE IS X TO DECIDE RECEIVE TREATMENT
DEFPENSN,R HAS DEFINED BENEFIT PENSION PLAN
DEFSPDFG,DEFENSE SPENDING--GOVT POSITION
DEFSPDR,DEFENSE SPENDING--R'S POSITION
DEFWRKEV,EVER WORK FOR MILITARY SUPPLIER?
DEFWRKNW,CURRENTLY WORK FOR MILITARY SUPPLIER?
DEGREE,R'S HIGHEST DEGREE
DEJAVU,THOUGHT ONE WAS SOMEPLACE BEFORE
DEM10FUT,HOW WELL WILL DEMOCRACY WORK IN AMERICA IN TEN YRS
DEM10PST,HOW WELL DID DEMOCRACY WORK IN AMERICA TEN YRS AGO
DEMANDS,R FEELS THAT FAMILY MAKE TOO MANY DEMANDS ON R
DEMRGHTS,DEMOCRATIC RGHTS SHOULDN'T BE RESTRICTED BY GOVT
DEMTODAY,HOW WELL DEMOCRACY WORK IN AMERICA
DEMWORKS,HOW WELL THE SYSTEM OF DEMOCRACY IN AMERICA WORKS?
DENKID,"IF PROTESTANT, DENOMINATION R RAISED IN"
DENOM,SPECIFIC DENOMINATION
DENOM16,DENOMINATION IN WHICH R WAS RAISED
DENOMSCH,DENOMINATION OF SCHOOL CHILDREN ATTENDED
DENSP,"IF PROTESTANT, R'S SPOUSE'S DENOMINATION"
DENYRAIS,DENIED RAISE WITHOUT REASON AT WORK
DEPNDABL,R IS A DEPENDABLE PERSON
DEPRESS,TOLD HAVE DEPRESSION
DEPTPERF,SIZE OF PERF BASED PAY DEPEND ON WORKGROUP
DEVIL,BELIEF IN THE DEVIL
DIABETES,TOLD HAVE DIABETES
DIAGNOSD,R EVER DIAGNOSED WITH MH PROBLEM
DIDLESSE,EMOTION PREVENT DESIRED ACTIVITIES PAST 4 WKS
DIDLESSP,HEALTH PREVENT DOING DESIRED ACTIVITIES PAST 4
DIFFCARE,R HAD DIFFICULTY GETTING SPECIALTY CARE
DIFRACE1,WHY OBSERVATION DISAGREES SELF ID
DIFRACE2,WHY OBSERVATION DISAGREES SELF ID
DIFRACE3,WHY OBSERVATION DISAGREES SELF ID
DIFREL,WHEN LIVING CLOSE TOGETHER.
DIFSTAND,SOME PPL HOLD STANDARD IN WORKPLACE THAT OTHERS DON’T
DINEFRDS,HOW OFTEN R WENT OUT TO EAT OR DRINK WITH AT LEAST 3 NON-FAMILY MEMBERS
DINNER,WHO IN HOUSEHOLD PLANS MEALS
DIPGED,"DIPLOMA, GED, OR OTHER"
DIRECTNS,R HAS GIVEN DIRECTIONS TO A STRANGER
DISABLD1,R HAS A HEARING PROBLEM
DISABLD2,R HAS A VISION PROBLEM
DISABLD3,R HAS A PHYSICAL DISABILITY
DISABLD4,R HAS OTHER PHYSICAL DISABILITY
DISABLD5,R HAS EMOTIONAL OR MENTAL DISABILITY
DISABLD6,R HAS DIFFICULTY IN LEARNING REMEMBERING OR CONCENTRATING
DISABLD7,R HAS DIFFICULTY IN DAILY ACTIVITIES
DISCAFF,WHITES HURT BY AFF. ACTION
DISCAFFM,A MAN WON'T GET A JOB OR PROMOTION
DISCAFFW,A WOMAN WON'T GET A JOB OR PROMOTION
DISCAFFY,CHANCE BLACKS PROMOTED AHEAD OF WHITES
DISCIPLN,SITUATION CAUSED BY LACKING DISCIPLINE IN THE
DISCPOL,HOW OFTEN R DISCUSS POLITICS
DISCWHY1,PERSONALLY EXPERIENCED IT
DISCWHY2,HAPPENED TO SOMEONE CLOSE
DISCWHY3,HAPPENED AT WORK
DISCWHY4,HEARD ABOUT IT IN MEDIA
DISCWHY5,HEARD ABOUT IT ELSEWHERE
DISCWHY6,OTHER SOURCES
DISCWK5,DISCRIMINATION AT WORK IN PAST 5 YRS
DISRSPCT,R IS TREATED WITH LESS COURTESY OR RESPECT THAN OTHERS
DIVBEST,DIVORCE AS BEST SOLUTION TO MARITAL PROBLEMS
DIVHUBBY,HUSB BETTER IF BAD MARRGE ENDED BY DIV
DIVIFKD1,SHOULD FEUDING PARENTS STAY TOGETHER FOR KIDS
DIVIFKID,HOW EASY SHOULD DIVORCE BE IF KIDS
DIVKIDS,KIDS BETTER IF BAD MARRGE ENDED BY DIV
DIVLAW,DIVORCE LAWS
DIVLAWY,DIVORCE LAWS-VERSION Y
DIVNOKD1,CHILDLESS COUPLES STAY MARRIED EVEN WITH PROBLEMS
DIVNOKID,HOW EASY SHOULD DIVORCE BE FOR KIDLESS
DIVNOW,HOW EASY IS IT TO GET A DIVORCE TODAY
DIVORCE,EVER BEEN DIVORCED OR SEPARATED
DIVORCE5,DIVORCED IN LAST 5 YRS
DIVREL1,RELATIVES DIVORCED IN LAST YEAR
DIVREL4,RELATIVES DIVORCED BETWEEN 5 & 1 YRS AGO
DIVWIFE,WIFE BETTER IF BAD MARRGE ENDED BY DIV
DK,DON'T KNOW RESPONSE TO PAY ITEMS
DOC1,DOCTORS AREN'T AS THOROUGH AS SHOULD BE
DOC10,DOCTORS RECOMMEND SURGERY IF NO OTHER WAY
DOC11,DOCTORS WILLING TO REFER ME A SPECIALIST
DOC12,DOCTORS UNABLE TO TELL ME ALL THE OPTIONS
DOC13,DOCTORS DENY ME THE TREATMENT NEEDED
DOC14,DOCTORS PUT COST CONSIDERATION ABOVE CARE
DOC15,DOCTOR NOT REALLY CARE ME AS A PERSON
DOC15A,DOCTOR NOT REALLY CARE ME AS A PERSON
DOC16,DOCTORS JUDGMENT TRUSTED
DOC16A,DOCTORS JUDGMENT TRUSTED
DOC17,DOCTOR DOES NOT DO EVERYTHING SHOULD FOR ME
DOC18,DOCTOR PUT MEDICAL NEEDS ABOVE ALL OTHER
DOC18A,DOCTOR PUT MEDICAL NEEDS ABOVE ALL OTHER
DOC19,DOCTOR A REAL EXPERT IN TAKING CARE PROBLEM
DOC19A,DOCTOR A REAL EXPERT IN TAKING CARE PROBLEM
DOC2,DOCTORS DO BEST TO PREVENT WORRYING
DOC20,DOCTOR TELL ME IF A MISTAKE WAS MADE
DOC20A,DOCTOR TELL ME IF A MISTAKE WAS MADE
DOC3,DOCTORS SOMETIMES TAKE UNNECESSARY RISKS
DOC4,DOCTORS ARE CAREFUL TO CHECK EVERYTHING
DOC5,DOCTORS TREAT PATIENTS WITH RESPECT
DOC6,I HARDLY SEE THE SAME DOCTORS EACH TIME
DOC7,DOCTORS AVOID UNNECESSARY PATIENT EXPENSES
DOC8,DOCTORS CAUSE WORRY BECAUSE DON'T EXPLAIN
DOC9,DOCTORS IGNORE OLD PROBLEMS CARE NEW ONES
DOCASKME,R PREFERS DOC ASK OPINION
DOCCOSTS,HOW R TRUST DOC PUT HEALTH ABOVE COSTS
DOCDECID,R LEAVES DECISIONS UP TO DOCTOR
DOCINFO,DOCTOR PROVIDED ENOUGH INFO
DOCLIST,USE A DIRECTORY LIST FOR HEALTH CARE PLAN
DOCNOMRI,R AGREE WITH DOC DECISION TO NOT ORDER MRI
DOCRELY,R RELIES ON DOCTORS KNOWLEDGE
DOCSAT,HOW SATISFIED R WITH OFFICE VISIT
DOCSUI,ASK FOR PHYSICIAN-ASSISTED SUICIDE
DOCSWTCH,WOULD R SWITCH PHYSICIANS
DOCVIG,VIGNETTE ABOUT THE DOCTOR
DOFIRST,WHICH OF THESE THINGS SHOULD R DO FIRST
DOG,DOG
DOGB4,DOG
DOINGDYS,HOW LONG SPENT ON LEARNING BY DOING
DOINGFIN,HAVE COMPLETED THIS ON-THE-JOB TRAINING
DOINGTRN,INCLUDE INFORMAL LEARNING BY DOING
DONE911A,HAS R DEVELOPED EMERGENCY PLANS
DONE911B,HAS R STOCKPILED SUPPLIES
DONE911C,HAS R PURCHASED THINGS TO MAKE THEM SAFER
DONE911D,HAS R LEARNED WHERE TO GET MORE INFO ABOUT TERRORISM
DONE911E,HAS R DUPLICATED IMPORTANT DOCUMENTS
DONE911F,HAS R REDUCED AIR TRAVEL
DONE911G,HAS R REDUCED TRAVEL BY TRAIN
DONE911H,HAS R REDUCED USE OF PUBLIC TRANSPORTATION
DONE911I,HAS R CHANGED MAIL HANDLING PROCEDURES
DONE911J,HAS R BECOME VIGILANT OF WHAT IS GOING ON AROUND R
DONE911K,HAS R AVOIDED TRAVEL TO CERTAIN CITIES
DONE911L,HAS R AVOIDED TALL BUILDINGS
DONE911M,HAS R AVOIDED NATIONAL LANDMARKS
DONE911N,HAS R DONE ANYTHING ELSE TO DEAL WITH TERRORISM
DONEELSE,SPECIFY WHAT IT IS R HAS DONE
DONOTHNG,HOW LIKELY TO DO NOTHING IF COWORKER NOT WORKING
DOONOWN,HAS R FIGURED OUT PROBLEMS WITH SOFTWARE ON OWN
DOSELF,R FIGURED OUT PROBLEMS WITH WEB ON OWN
DOSPORTS,PLAYED SPORTS IN LST YR
DOTDATA,D.O.T. CODE - RELATION TO DATA
DOTGED,D.O.T. CODE - GENERAL EDUC DEVELOP.
DOTPEOP,D.O.T. CODE - RELATION TO PEOPLE
DOTPRES,TEMME PRESTIGE SCALE
DOTSVP,D.O.T. CODE - SPECIFIC VOCAT. PREP
DOTTHNG,D.O.T. CODE - RELATION TO THINGS
DOUBTS1,HAS EVIL IN THE WORLD CAUSED R DOUBT
DOUBTS2,HAS PERSONAL SUFFERING CAUSED R DOUBT
DOUBTS3,HAS SCIENCE-FAITH CONFLICT CAUSED DOUBT
DOUBTS4,HAS FEELING OF MEANINGLESSNESS CAUSED DOUBT
DOWELL,IMPORTANCE OF PERFORMANCE TO PAY
DOWN1,HELP FOR DEPRESSION #1
DOWN1A,WHO DOES R TURN TO FIRST FOR HELP WHEN DEPRESSED
DOWN2,HELP FOR DEPRESSION #2
DOWN2A,WHO DOES R TURN TO SECOND FOR HELP WHEN DEPRESSED
DOWNBLUE,FELT DOWN AND BLUE IN PAST 4 WKS
DOWNCURE,TREATMENT FOR DOWNHEARTEDNESS CURE CONDITION
DOWNFAM,TREATMENT FOR DOWNHEARTEDNESS IMPROVE FAMILY
DOWNFEEL,TREATMENT FOR DOWNHEARTEDNESS IMPROVE FEELINGS
DOWNLOAD,DOES R KNOW HOW TO DOWNLOAD FILES FROM WWW
DOWNQOL,TREATMENT FOR DOWNHEARTEDNESS IMPROVE QUALITY OF LIFE
DOWNRELY,TREATMENT FOR DOWNHEARTEDNESS RELY LESS ON
DRAFT,RETURN TO THE DRAFT?
DRAFTCO,CONSCIENTIOUS OBJECTOR EXEMPT FROM DRAFT
DRAFTCOL,COLLEGE STUDENTS EXEMPT FROM DRAFT?
DRAFTDEF,DEFENSE OCCUPATIONS EXEMPT FROM DRAFT?
DRAFTEM,"IF EMERGENCY, RETURN TO DRAFT?"
DRAFTFE,"IF RETURN TO DRAFT, DRAFT WOMEN?"
DRAFTFEM,"IF EMERGENCY, DRAFT WOMEN ALSO?"
DRAFTGAY,GAYS EXEMPT FROM DRAFT?
DRAFTMAR,MARRIED PERSONS EXEMPT FROM DRAFT?
DRAFTPAR,PARENTS OF SMALL CHLDRN EXEMPT FRM DRAFT
DRAMA,WENT TO A LIVE DRAMA
DRCTLINK,HOW OFTEN R LINKS FROM HOMEPAGE
DRINK,EVER DRINK ALCOHOLIC BEVERAGES?
DRINK1,HOW OFTEN AT LEAST 1 BUT LESS THAN 3 DRINKS
DRINK12,HOW OFTEN AT LEAST 12 BUT LESS THAN 20 DRINKS
DRINK3,HOW OFTEN AT LEAST 3 BUT LESS THAN 5 DRINKS
DRINK5,HOW OFTEN AT LEAST 5 BUT LESS THAN 8 DRINKS
DRINK6UP,HOW OFTEN R HAS 6 OR MORE DRINKS IN A DAY
DRINK8,HOW OFTEN AT LEAST 8 BUT LESS THAN 12 DRINKS
DRINKDAY,HOW MANY DRINKS R HAVE ON A DAY WHEN DRINKING
DRINKMAX,LARGEST NUMBER OF DRINKS IN A DAY LAST 12 MONTHS
DRINKMIN,HOW OFTEN AT LEAST A SIP BUT LESS THAN ONE FULL DRINK
DRINKYR,HOW REGULARLY R DRINK OVER LAST 12 MONTHS
DRIVLESS,DRIVE LESS FOR ENVIR REASONS
DRUGTEST,BEFORE GOT THE JOB TOOK A DRUG AND ALCOHOL TEST
DRUNK,EVER DRINK TOO MUCH?
DWELCITY,DWELLING COMPARED TO OTHERS IN CITY
DWELL5,GAY/LES/BI
DWELLING,TYPE OF STRUCTURE
DWELLPRE,TYPE  OF STRUCTURE  IN WHICH     THE  RESPONDENT  LIVES
DWELNGH,DWELLING COMPARED TO OTHERS IN NBRHD
DWELOWN,DOES R OWN OR RENT HOME?
DWELOWN16,DID R'S FAMILY RENT OR OWN WHILE R GROWING UP
EARNDES,R DESERVES EARNINGS
EARNMORE,WHO EARNS MORE MONEY?
EARNRS,HOW MANY IN FAMILY EARNED MONEY
EARNSHH,HUBBY OR WIFE EARNS MORE DOLLARS
EARNSMOR,HUBBY OR WIFE EARNS MORE $
EARTHSUN,SCI KNOWLEDGE: THE EARTH GOES AROUND THE SUN
EASYGET,HOW DIFFICULT WAS CASE TO GET
EATGM,R'S VIEW ABOUT EATING GENETICALLY MODIFIED FOODS
EATOUT,LAST WEEK HAD A MEAL AT A RESTAURANT
ECOAGREE,AGREEMENT BY ECONOMISTS ON EFFECT OF REDUCING FED INC TAX
ECOBSTTX,BEST POLICY VS NARROW INTEREST ON FED INC TAX: ECONOMIST
ECOINFTX,INFLUENCE ON REDUCING FED INC TAXBY ECONOMISTS
ECOMHRH,HOURS PER WEEK USE COMPUTER HOUSEHOLD MANAGEMENT
ECOMHRO,HOURS PER WEEK USING OTHER COMPUTER HSEHLD MNGM
ECOMHRW,HOURS PER WEEK USING WORK COMPUTER HSEHLD MNGMN
ECOMMINH,MINUTES PER WEEK USE COMPUTER HOUSEHOLD MANAGEMENT
ECOMMINO,MINUTES PER WEEK USING OTHER COMPUTER HSEHLD MN
ECOMMINW,MINUTES PER WEEK USING WORK COMPUTER HSEHLD MNG
ECON12,PAST 12 MONTHS R WEB TO LEARN ECONOMY
ECONFUTR,PREDICTIONS FOR NATIONAL ECONOMY IN NEXT YEAR
ECONGRN,ECONOMIC PROGRESS DEPENDENT ON ENVIRONMENT
ECONPAST,HAS NATIONAL ECONOMY IMPROVED LAST YEAR
ECONSCI,HOW SCIENTIFIC: ECONOMICS
ECONSUP,MAIN SOURCE OF ECONOMIC SUPPORT
ECONSUP1,MAIN SOURCE OF ECONOMIC SUPPORT
ECONSYS,BEST-NEEDS REPLACED
EDCSKILL,HOW IMPORTANT SCHOOL IN DEVELOPING SKILLS
EDDONE,YOUNG SHOULD COMPLETE FORMAL SCHOOLING
EDDONE1,AGED SHOULD COMPLETE FORMAL SCHOOLING
EDUC,HIGHEST YEAR OF SCHOOL COMPLETED
EDUC1,EDUCATION LEVEL OF PERSON #1
EDUC2,EDUCATION LEVEL OF PERSON #2
EDUC3,EDUCATION LEVEL OF PERSON #3
EDUC30,R USE EDUCATION SITE IN PAST 30 DAYS
EDUC4,EDUCATION LEVEL OF PERSON #4
EDUC5,EDUCATION LEVEL OF PERSON #5
EDUCEMP,IMPORTANCE OF EDUC & QUALIF. TO PAY
EDUCOP,EQUAL OPPORTUNITY TO OBTAIN EDUCATION?
EFF911A,HOW EFFECTIVE R THINKS DEVELOPING EMERGENCY PLANS
EFF911B,HOW EFFECTIVE R THINKS STOCKPILING SUPPLIES
EFF911C,HOW EFFECTIVE R THINKS PURCHASING THINGS TO MAKE THEM SAFER
EFF911D,HOW EFFECTIVE R THINKS LEARNING WHERE TO GET INFO ABOUT TERRORISM
EFF911E,HOW EFFECTIVE R THINKS DUPLICATING IMPORTANT DOCUMENTS
EFF911F,HOW EFFECTIVE R THINKS REDUCING AIR TRAVEL
EFF911G,HOW EFFECTIVE R THINKS REDUCING TRAVEL BY TRAIN
EFF911H,HOW EFFECTIVE R THINKS REDUCING USE OF PUBLIC TRANSPORTATION
EFF911I,HOW EFFECTIVE R THINKS CHANGING MAIL HANDLING PROCEDURES
EFF911J,HOW EFFECTIVE R THINKS BECOMING VIGILANT
EFF911K,HOW EFFECTIVE R THINKS AVOIDING TRAVEL TO CERTAIN CITIES
EFF911L,HOW EFFECTIVE R THINKS AVOIDING TALL BUILDINGS
EFF911M,HOW EFFECTIVE R THINKS AVOIDING NATIONAL LANDMARKS
EFF911N,HOW EFFECTIVE R THINKS THAT IS
EFFCTSUP,SUPERVISOR EFFECTIVE SOLVE WORK/PERSONAL CONFLICTS
EFFORT,IN PAST 30 DAYS FEEL EVERYTHING THING EFFORT
EFTOTLT,TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE RESPONDENT ATTENDED
EGOMEANS,LIFE MEANINGFUL ONLY IF YOU PROVIDE MEANING
EGYPT,LIKING FOR EGYPT
EHARASWK,HARASSED ELECTRONICALLY AT WORK
ELDCOST,WHO SHOULD PAY FOR HELP FOR ELDERLY
ELDERSUP,ADULT CHILDREN ARE IMP TO HELP ELDERLY PARENTS
ELDHELP,WHO SHOULD PROVIDE HELP FOR ELDERLY
ELECFAIR,HOW FAIR LAST NATL ELECTION: OPPRTUNITIES OF CANDIDATE
ELECTRON,SCI KNOWLEDGE: ELECTRONS ARE SMALLER THAN ATOMS
ELECVOTE,HOW HONEST LAST NATL ELECTION: COUNTING OF VOTES
EMAILHME,GOVT AUDIT EMAIL AND INTERNET AT HOME
EMAILHR,EMAIL HOURS PER WEEK
EMAILLNK,HOW OFTEN DOES R LINK IN AN EMAIL FROM FRIEND
EMAILMIN,EMAIL MINUTES PER WEEK
EMAILWRK,GOVT AUDIT EMAIL AND INTERNET AT WORK
EMAILYR,WHEN R FIRST BEGAN USING EMAIL
EMBARRSS,FELT EMBARRASSED ABOUT SOMETHING?
EMCHURCH,R SEND OR RECEIVE TO OR FROM CHURCH MEMBERS
EMFAMLOC,R SEND OR RECEIVE TO OR FROM FAMILY MEMBERS AT
EMFAMOTH,R SEND OR RECEIVE TO OR FROM OTHER FAMILY MEMBERS
EMFRI,R SEND OR RECEIVE TO OR FROM FRIENDS
EMGET,HOW MANY EMAIL MESSAGES RECEIVED PER DAY
EMGETP,HOW MANY PERSONAL MESSAGES RECEIVED PER DAY
EMGROUPS,R SEND OR RECEIVE TO OR FROM GROUP MEMBERS
EMHRH,HOURS PER WEEK USE COMPUTER EMAIL
EMHRO,HOURS PER WEEK USING OTHER COMPUTER EMAIL
EMHRW,HOURS PER WEEK USING WORK COMPUTER EMAIL
EMMINH,MINUTES PER WEEK USE COMPUTER EMAIL
EMMINO,MINUTES PER WEEK USING OTHER COMPUTER EMAIL
EMMINW,MINUTES PER WEEK USING WORK COMPUTER EMAIL
EMONITOR,CIVIL LIBERTIES - MONITOR EMAILS
EMOPROBS,"IN THE PAST 7 DAYS, HOW OFTEN R HAS BEEN BOTHERED BY EMOTIONAL PROBLEMS"
EMOTCURE,TREATMENT FOR EMOTION CURE CONDITION
EMOTEOTH,MAN AND WOMAN EMOTIONALLY DEPENDENT-INDEPENDENT
EMOTFAM,TREATMENT FOR EMOTION IMPROVE FAMILY RELATIONS
EMOTFEEL,TREATMENT FOR EMOTION IMPROVE FEELING ABOUT
EMOTQOL,TREATMENT FOR EMOTION IMPROVE QUALITY OF LI
EMOTRELY,TREATMENT FOR EMOTION RELY LESS ON OTHERS
EMPATHY1,R HAVE TENDER FEELING FOR PEOPLE LESS FORTUNATE
EMPATHY2,R DOES NOT FEEL VERY SORRY FOR PEOPLE HAVING PRO
EMPATHY3,R FEELS PROTECTIVE TOWARDS PEOPLE TAKEN ADVANTAGE
EMPATHY4,OTHERS MISFORTUNES DO NOT DISTURB R
EMPATHY5,R DOES NOT FEEL PITY FOR SOMEONE TREATED UNFAIR
EMPATHY6,R OFTEN QUITE TOUCHED BY THINGS
EMPATHY7,R DESCRIBES ONESELF AS A SOFT-HEARTED PERSON
EMPHLTH,DO YOU RECEIVE HEALTH INSURANCE FROM EMPLOYER
EMPHLTH1,CURRENT EMPLOYER OFFER HEALTH CARE INSURANCE TO R AS EMPLOYEE
EMPHLTH2,EMPLOYERS COVERAGE
EMPHPLAN,NAME OF INSURANCE OR HMO
EMPINPUT,R INVOLVED IN ANY TASK FORCE FOR DECISION-MAKING
EMPLOYER,DOES R EMPLOY OTHERS
EMPSELF,DOES R PREFER SELF-EMPLOYMENT OR NOT ?
EMPTRAIN,RECEIVED FORMAL TRAINING FROM EMPLOYER
EMPYEARS,YEARS WORKED FOR YOUR PRESENT EMPLOYER
EMSENT,HOW MANY EMAIL MESSAGES SENT PER DAY
EMSENTP,HOW MANY PERSONAL EMAIL MESSAGES SENT PER DAY
EMWRKAWY,R SEND OR RECEIVE TO OR FROM BUSINESS CONTACTS
EMWRKLOC,R SEND OR RECEIVE TO OR FROM COWORKERS
ENDSMEET,HOW DIFFICULT OR EASY IS IT FOR R'S HOUSEHOLD TO MAKE ENDS MEET
ENERGY,HAVE A LOT OF ENERGY IN PAST 4 WKS
ENGAGRNK,ENGINEERS AGREE NUCLEAR POWER
ENGBALLT,ATTITUDE TOWARD PRINTING BALLOTS ONLY IN ENGLISH
ENGBRNG,BEING ENGINEER BORING
ENGBSTNK,NUCLEAR ENGINEERS BEST FOR COUNTRY
ENGBTR,ENGINEERS WANT TO MAKE LIFE BETTER FOR AVG PERSON
ENGDA,HAPPY IF DAUGHTER ENGINEER
ENGDGR,ENGINEERING WORK DANGEROUS
ENGDO,KNOW WHAT ENGINEERS DO
ENGEARN,ENGINEERS EARN LESS
ENGFUN,ENGINEERS DON’T HAVE FUN
ENGGOOD,ENGINEERS WORK FOR GOOD OF HUMANITY
ENGINT,ENGINEERS ONLY INTERESTED IN WORK
ENGLAND,LIKING FOR ENGLAND
English,BETTER IF ENGLISH IS ONLY LANGUAGE USED IN SCHOOL
ENGLONE,ENGINEERS USUALLY WORK ALONE
ENGNRING,HOW SCIENTIFIC IS ENGINEERING
ENGNRSCI,HOW SCIENTIFIC: ENGINEERING
ENGNUKE,NUCLEAR ENGINEERS UNDERSTAND NUCLEAR POWER
ENGODD,ENGINEERS ODD AND PECULIAR
ENGOFF1,ENGLISH OFFICIAL LANGUAGE OF U.S.
ENGOFFCL,FAVOR LAW MAKING ENGLISH THE OFFICIAL LANGUAGE
ENGPROB,ENGINEERS HELP SOLVE PROB
ENGREL,ENGINEERS NOT RELIGIOUS
ENGRESP,CONSIDER WORK IN ENGINEER FIELD
ENGSON,HAPPY IF SON ENGINEER
ENGTEACH,OPINION ON TEACHING CLASSES ONLY IN ENGLISH
ENGTHRTN,ENGLISH THREATENED BY LANGUAGES SPOKEN BY IMMIG
ENGUNITE,ENGLISH UNITES ALL AMERICANS
ENGVOTE,BALLOTS SHOULD OFFERED OTHER LANGUAGES THAN ENG
ENHINFNK,NUCLEAR ENGINEERS HOW MUCH INFLUENCE
ENPRBFAM,PROBLEM EFFECT FAMILY MOST
ENPRBUS,MOST IMPORTANT ENVIRONMENT PROBLEM
ENTITY,ENTITY MENTIONS IN RELIGIOUS CHANGE
ENVIRO12,PAST 12 MONTHS R WEB TO LEARN ENVIRONMENT
EQCLOSE,R FEELS EQUALLY CLOSE TO ALL PERSONS
EQINCOME,GOVT SHOULD REDISTRIBUTE WEALTH
EQTREAT,HOW IMPORTANT: GOVT TREAT EVERYBODY EQUALLY
EQUAL1,EVERYONE SHOULD LOOK OUT FOR SELF
EQUAL2,BUSINESS PROFITS BENEFIT ALL
EQUAL3,GOVT SHLD INSURE JOBS AND STABLE PRICES
EQUAL4,RESPONSIBILITY OF GOVT TO MEET NEEDS
EQUAL5,SOCIAL WELFARE BENEFITS ARE DISINCENTIVE
EQUAL6,ONE IS ABLE TO LIVE WELL IN AMERICA
EQUAL7,BUSINESS PROFITS ARE DISTRIBUTED FAIRLY
EQUAL8,SOCIAL STANDING DUE TO ABILITY
EQUALIZE,GOVTS RESP: REDUCE INCOME DIFFERENCES
EQWLTH,SHOULD GOVT REDUCE INCOME DIFFERENCES
EQWLTHY,GOVT REDUCE INCOME DIFFERENCES-VERSION Y
ERA,DOES R FAVOR OR OPPOSE ERA?
ERAFIRM,HOW FIRM IS R'S OPINION ON ERA
ERAIMP,IMPORTANCE OF ERA ISSUE
ERAINFO,HOW MUCH INFO DOES R HAVE ABOUT ERA
ERAMEANS,DOES R UNDERSTAND WHAT ERA MEANS
ERAREAD,HAS R HEARD OR READ ABOUT ERA
ERATELL,DOES R FAVOR OR OPPOSE ERA
ERAWHY1,1ST REASON FAVOR-OPPOSE ERA
ERAWHY2,2ND REASON FAVOR-OPPOSE ERA
ERAWHY3,3RD REASON FAVOR-OPPOSE ERA
EROSION,EXAMPLE OF EROSION
ESOP,R IS MEMBER OF ESOP
ESOPNOT,WOULD R RATHER WORK FOR A COMPANY WITH AN ESOP OR CASH SHARING
ESP,FELT IN TOUCH WITH SOMEONE FAR AWAY
ETH1,1ST MENTIONED COUNTRY OF ORIGIN
ETH2,2ND MENTIONED COUNTRY OF ORIGIN
ETH3,3RD MENTIONED COUNTRY OF ORIGIN
ETHADAPT,MINORITIES MUST ADAPT TO AMERICAN CULTURE
ETHCHNG,ETHNIC CHANGE IN 25 YRS GOOD FOR COUNTRY
ETHCLOSE,HOW CLOSE FEEL TO YOUR ETHNIC OR RACIAL GROUP?
ETHDIFF,ETHNIC GROUPS IN US DIFFERENT
ETHHIST,MINORITY HISTORY ADEQUATELY TAUGHT IN SCHOOL
ETHID,R AMERICAN VS ETHNIC IDENTITY
ETHID1,R PRIMARY IDENTITY AS ETHNIC OR AMERICAN
ETHIGNOR,US HARMONY BY IGNORE ETHNIC DIFFERENCES
ETHIMP,IMPORTANCE OF ETHNIC GROUP TO R
ETHISSU1,DEGREE R INVOKES PRIMARY IDENTITY AS ETHNIC
ETHISSUE,DEGREE R INVOKES ETHNIC IDENTITY
ETHNIC,COUNTRY OF FAMILY ORIGIN
ETHNOFIT,ETH MINORITIES NEVER FIT IN AM MAINSTREAM
ETHNUM,TYPE OF RESPONSE ABOUT ETHNICITY:R
ETHORGS,DO ETHNIC ORGS PROMOTE SEPARATISM
ETHSAME,INDIVIDUAL OF SAME ETHNIC GROUP SIMILAR
ETHSPKNO,BAN OPINIONS HARMFUL TO OTHER GROUPS
ETHSPKOK,ALLOW FREE SPEECH OFFENSIVE TO ETHNIC GROUPS
ETHTRADS,SOCIETY RECOGNIZE RIGHT OF ETHNIC TRADITIONS
EVBRKDWN,EVER FELT GOING TO HAVE A NERVOUS BREAKDOWN?
EVBUYHME,HAVE YOU EVER PURCHASED A HOME
EVCRACK,R EVER USE CRACK COCAINE
EVDIV,HAS R EVER BEEN DIVORCED
EVDRINK,EVER DRANK ANY ALCOHOLIC BEVERAGE
